"","Year","Team_ID","Conference_ID","Division_ID","SeasonEnd_Rank","Playoff_Result","Team_Total_Games","Team_Wins","Team_Losses","Team_Ties","Team_OT_Losses","Team_Points","Team_ShootoutWins","Team_ShootoutLosses","Team_GoalsFor","Team_GoalsAgainst","TeamName","Team_PenaltyMin","Team_BenchMinors","Team_PPG","Team_PPC","Team_SHA","Team_PKG","Team_PKC","Team_SHF"
"1",2000,"ANA","WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,373,13,71,390,6
"2",2000,"ATL","EC","SE",4,NA,82,23,45,12,2,60,0,0,211,289,"Atlanta Thrashers",1500,6,54,395,8,90,408,9
"3",2000,"BOS","EC","NE",4,NA,82,36,30,8,8,88,0,0,227,249,"Boston Bruins",1325,18,64,390,7,65,377,8
"4",2000,"BUF","EC","NE",2,"CSF",82,46,30,5,1,98,0,0,218,184,"Buffalo Sabres",1249,8,60,373,5,40,334,6
"5",2000,"CAL","WC","NW",4,NA,82,27,36,15,4,73,0,0,197,236,"Calgary Flames",1376,14,65,435,11,76,378,3
"6",2000,"CAR","EC","SE",2,"CQF",82,38,32,9,3,88,0,0,212,225,"Carolina Hurricanes",1083,10,72,382,16,45,351,6
"7",2000,"CBS","WC","CE",5,NA,82,28,39,9,6,71,0,0,190,233,"Columbus Blue Jackets",1234,20,56,381,8,70,363,3
"8",2000,"CHI","WC","CE",4,NA,82,29,40,8,5,71,0,0,210,246,"Chicago Blackhawks",1001,24,41,318,12,52,323,15
"9",2000,"COL","WC","NW",1,"SC",82,52,16,10,4,118,0,0,270,192,"Colorado Avalanche",1138,16,80,363,11,59,342,11
"10",2000,"DAL","WC","PC",1,"CSF",82,48,24,8,2,106,0,0,241,187,"Dallas Stars",1041,10,72,367,7,49,355,7
"11",2000,"DET","WC","CE",1,"CQF",82,49,20,9,4,111,0,0,253,202,"Detroit Red Wings",1082,20,85,384,7,55,385,10
"12",2000,"EDM","WC","NW",2,"CQF",82,39,28,12,3,93,0,0,243,222,"Edmonton Oilers",1287,10,59,398,4,62,382,13
"13",2000,"FLO","EC","SE",3,NA,82,22,38,13,9,66,0,0,200,246,"Florida Panthers",1509,10,46,353,13,64,398,8
"14",2000,"LAK","WC","PC",3,"CSF",82,38,28,13,3,92,0,0,252,228,"Los Angeles Kings",1196,20,71,367,6,72,382,14
"15",2000,"MIN","WC","NW",5,NA,82,25,39,13,5,68,0,0,168,210,"Minnesota Wild",1200,26,36,374,14,57,373,13
"16",2000,"MTL","EC","NE",5,NA,82,28,40,8,6,70,0,0,206,232,"Montreal Canadiens",1020,18,68,421,3,60,337,5
"17",2000,"NAS","WC","CE",3,NA,82,34,36,9,3,80,0,0,186,200,"Nashville Predators",944,8,51,361,4,49,331,7
"18",2000,"NJD","EC","AT",1,"F",82,48,19,12,3,111,0,0,295,195,"New Jersey Devils",1235,18,71,310,6,49,320,9
"19",2000,"NYI","EC","AT",5,NA,82,21,51,7,3,52,0,0,185,268,"New York Islanders",1339,14,51,386,14,79,445,9
"20",2000,"NYR","EC","AT",4,NA,82,33,43,5,1,72,0,0,250,290,"New York Rangers",1522,18,65,363,12,86,400,16
"21",2000,"OTT","EC","NE",1,"CQF",82,48,21,9,4,109,0,0,274,205,"Ottawa Senators",1062,10,71,381,5,49,361,10
"22",2000,"PHI","EC","AT",2,"CQF",82,43,25,11,3,100,0,0,240,207,"Philadelphia Flyers",1183,8,55,350,9,55,314,11
"23",2000,"PHO","WC","PC",4,NA,82,35,27,17,3,90,0,0,214,212,"Phoenix Coyotes",1337,12,57,343,6,64,432,9
"24",2000,"PIT","EC","AT",3,"CF",82,42,28,9,3,96,0,0,281,256,"Pittsburgh Penguins",1585,12,76,375,11,78,405,7
"25",2000,"SJS","WC","PC",2,"CQF",82,40,27,12,3,95,0,0,217,192,"San Jose Sharks",1364,10,57,406,10,61,441,8
"26",2000,"STL","WC","CE",2,"CF",82,43,22,12,5,103,0,0,249,195,"St. Louis Blues",1345,14,72,385,7,57,389,15
"27",2000,"TBL","EC","SE",5,NA,82,24,47,6,5,59,0,0,201,280,"Tampa Bay Lightning",1404,20,53,424,11,72,422,9
"28",2000,"TOR","EC","NE",3,"CSF",82,37,29,11,5,90,0,0,232,207,"Toronto Maple Leafs",1430,6,57,355,9,55,366,2
"29",2000,"VAN","WC","NW",3,"CQF",82,36,28,11,7,90,0,0,239,238,"Vancouver Canucks",1113,22,71,416,11,74,387,12
"30",2000,"WAS","EC","SE",1,"CQF",82,41,27,10,4,96,0,0,233,211,"Washington Capitals",1141,10,75,353,7,62,391,6
"31",2001,"ANA","WC","PC",5,NA,82,29,42,8,3,69,0,0,175,198,"Mighty Ducks of Anaheim",1254,14,43,373,9,46,330,4
"32",2001,"ATL","EC","SE",5,NA,82,19,47,11,5,54,0,0,187,288,"Atlanta Thrashers",1290,22,37,306,12,65,358,3
"33",2001,"BOS","EC","NE",1,"CQF",82,43,24,6,9,101,0,0,236,201,"Boston Bruins",1454,12,39,283,5,45,348,14
"34",2001,"BUF","EC","NE",5,NA,82,35,35,11,1,82,0,0,213,200,"Buffalo Sabres",1217,16,50,374,6,41,304,7
"35",2001,"CAL","WC","NW",4,NA,82,32,35,12,3,79,0,0,201,220,"Calgary Flames",1586,12,55,364,5,66,356,10
"36",2001,"CAR","EC","SE",1,"F",82,35,26,16,5,91,0,0,217,217,"Carolina Hurricanes",1022,12,63,390,11,54,332,4
"37",2001,"CBS","WC","CE",5,NA,82,22,47,8,5,57,0,0,164,255,"Columbus Blue Jackets",1198,14,50,356,8,52,306,3
"38",2001,"CHI","WC","CE",3,"CQF",82,41,27,13,1,96,0,0,216,207,"Chicago Blackhawks",1234,10,54,302,2,63,340,4
"39",2001,"COL","WC","NW",1,"CF",82,45,28,8,1,99,0,0,212,169,"Colorado Avalanche",1007,10,62,344,7,41,315,7
"40",2001,"DAL","WC","PC",4,NA,82,36,28,13,5,90,0,0,215,213,"Dallas Stars",959,12,60,350,8,59,319,7
"41",2001,"DET","WC","CE",1,"SC",82,51,17,10,4,116,0,0,251,187,"Detroit Red Wings",1053,10,73,359,7,48,343,9
"42",2001,"EDM","WC","NW",3,NA,82,38,28,12,4,92,0,0,205,182,"Edmonton Oilers",1267,6,51,333,7,50,348,12
"43",2001,"FLO","EC","SE",4,NA,82,22,44,10,6,60,0,0,180,250,"Florida Panthers",1994,26,50,341,7,76,393,8
